acct_id,invoice_balance,total_bought,total_paid,total_owed,ticket_bought,ticket_paid,ticket_owed,sc_bought,sc_paid,sc_owed,donations_pledged,donations_received,donations_owed,on_account_payments,other,charge_back_count,charge_back_amount,acct_type_desc,tag
143856,0,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,Personal,
143866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143883,3036.5,6347.58,14506.3,-8158.72,6200.3,14166.3,-7966,147.28,144.78,2.5,0,0,0,0,0,0,0,Personal,
143891,1005,11765.6,18333.6,-6568,11760.6,11760.6,0,5,0,5,0,0,0,6573,0,0,0,Personal,
143909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143917,2.5,2.5,0,2.5,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,Personal,
143925,2.5,43568.9,49026.4,-5457.5,43566.4,43566.4,0,2.5,0,2.5,0,0,0,5460,0,0,0,Personal,
143933,2.5,2.5,0,2.5,0,0,0,2.5,0,2.5,0,0,0,0,0,0,0,Personal,
143946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
143974,0,25530.63,27940.63,-2410,25530.63,25530.63,0,0,0,0,0,0,0,2410,0,0,0,Personal,
143982,0,15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,Personal,
143990,1000,5860.6,5860.6,0,5860.6,5860.6,0,0,0,0,0,0,0,0,0,0,0,Personal,
144006,5,50857.7,66418.7,-15561,50852.7,50852.7,0,5,0,5,0,0,0,15566,0,0,0,Personal,
144014,0,27003.6,34603.6,-7600,26998.6,32598.6,-5600,5,5,0,0,0,0,2000,0,0,0,Personal,
144022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144089,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,Personal,
144095,5334,36439.1,15935.1,20504,36426.6,15922.6,20504,12.5,12.5,0,0,0,0,0,0,0,0,Personal,
144105,0,4000,4000,0,4000,4000,0,0,0,0,0,0,0,0,0,0,0,Personal,
144113,200,6670.6,6670.6,0,6660.6,6660.6,0,10,10,0,0,0,0,0,0,0,0,Personal,
144121,0,10,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,Personal,
144138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
144141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,
